1,Abilene Christian University,Abilene Christian,Abilene,Wildcats,Southland,abichr
2,United States Air Force Academy,Air Force,AirForce,Falcons,Mountain West,af
3,University of Akron,Akron,Akron,Zips,MAC,akron
4,University of Alabama,Alabama,Alabama,Crimson Tide,SEC,ala
5,Alabama Agricultural and Mechanical University,Alabama A & M,AlabamaAM,Bulldogs,SWAC,alaa&m
6,Alabama State University,Alabama State,AlabamaSt,Hornets,SWAC,alst
7,"University at Albany, SUNY",Albany,Albany,Great Danes,America East,albany
8,Alcorn State University,Alcorn State,AlcornSt,Braves,SWAC,alc
9,American University,American,American,Eagles,Patriot League,amer
10,Appalachian State University,Appalachian State,AppalachianSt,Mountaineers,Sun Belt,app
11,University of Arizona,Arizona,Arizona,Wildcats,Pac-12,ari
12,Arizona State University,Arizona State,ArizonaSt,Sun Devils,Pac-12,arist
13,University of Arkansas,Arkansas,Arkansas,Razorbacks,SEC,ark
14,University of Arkansas at Little Rock,Arkansas Little Rock,ARLittleRock,Trojans,Sun Belt,ark-lr
15,University of Arkansas at Pine Bluff,Arkansas-Pine Bluff,ARPineBluff,Golden Lions,SWAC,ark-pb
16,Arkansas State University,Arkansas State,ArkansasSt,Red Wolves,Sun Belt,arkst
17,United States Military Academy,Army,Army,Black Knights,Patriot League,army
18,Auburn University,Auburn,Auburn,Tigers,SEC,auburn
19,Austin Peay State University,Austin Peay,AustinPeay,Governors,Ohio Valley,apsu
20,Ball State University,Ball State,BallSt,Cardinals,MAC,ballst
21,Baylor University,Baylor,Baylor,Bears,Big 12,baylor
22,Boston College,BC,BostonColl,Eagles,ACC,bc
23,Belmont University,Belmont,Belmont,Bruins,Ohio Valley,belmnt
24,Bethune-Cookman University,Bethune Cookman,BethuneCookman,Wildcats,MEAC,b-c
25,Binghamton University,Binghamton,Binghamton,Bearcats,America East,bing
26,Boise State University,Boise State,BoiseSt,Broncos,Mountain West,boise
27,Boston University,BU,BostonU,Terriers,Patriot League,bu
28,Bowling Green State University,Bowling Green,BowlingGreen,Falcons,MAC,bgsu
29,Bradley University,Bradley,Bradley,Braves,Missouri Valley,brad
30,Brown University,Brown,Brown,Bears,Ivy League,brown
31,Bryant University,Bryant,Bryant,Bulldogs,Northeast,bryant
32,Bucknell University,Bucknell,Bucknell,Bison,Patriot League,buck
33,University at Buffalo,Buffalo,Buffalo,Bulls,MAC,buff
34,Butler University,Butler,Butler,Bulldogs,Big East,butler
35,Brigham Young University,BYU,BrighamYoung,Cougars,West Coast,byu
36,"University of California, Berkeley",California,Cal,Golden Bears,Pac-12,cal
37,California Polytechnic State University,Cal Poly,CalPoly,Mustangs,Big West,calply
38,"California State University, Bakersfield",Cal State Bakersfield,CSUBakersfield,Roadrunners,WAC,cs-bk
39,"California State University, Fullerton",Cal State Fullerton,CSUFullerton,Titans,Big West,csf
40,"California State University, Northridge",Cal State Northridge,CSUNorthridge,Matadors,Big West,cs-nr
41,"California State University, Sacramento",Sacramento State,SacramentoSt,Hornets,Big Sky,sac
42,Campbell University,Campbell,Campbell,Fighting Camels,Big South,camp
43,Canisius College,Canisius,Canisius,Golden Griffins,MAAC,can
44,University of Central Arkansas,,CentralArkansas,Bears,Southland,cenark
45,Central Connecticut State University,Central Connecticut State,CentralConnSt,Blue Devils,Northeast,centct
46,University of Central Florida,UCF,UCF,Knights,The American,ucf
47,Central Michigan University,Central Michigan,CentralMichigan,Chippewas,MAC,centmi
48,College of Charleston,,Charleston,Cougars,CAA,chrstn
49,Charleston Southern University,Charleston Southern,CharlestonSouth,Buccaneers,Big South,chsou
50,University of Tennessee at Chattanooga,Chattanooga,Chattanooga,Spartans,Southern,chat
51,Chicago State University,Chicago State,ChicagoSt,Cougars,WAC,chist
52,University of Cincinnati,Cincinnati,Cincinnati,Bearcats,The American,cin
53,The Citadel,,Citadel,Bulldogs,Southern,cit
54,Clemson University,Clemson,Clemson,Tigers,ACC,clem
55,Cleveland State University,Cleveland State,ClevelandSt,Vikings,Horizon League,clest
56,Coastal Carolina University,Coastal Carolina,CoastalCarolina,Chanticleers,Big South,coastc
57,Colgate University,Colgate,Colgate,Raiders,Patriot League,colg
58,University of Colorado,Colorado,Colorado,Buffaloes,Pac-12,colo
59,Colorado State University,Colorado State,ColoradoSt,Rams,Mountain West,colost
60,Columbia University,Columbia,Columbia,Lions,Ivy League,colum
61,University of Connecticut,UConn,Connecticut,Huskies,The American,uconn
62,Coppin State University,Coppin State,CoppinSt,Eagles,MEAC,coppin
63,Cornell University,Cornell,Cornell,Big Red,Ivy League,cor
64,Creighton University,Creighton,Creighton,Bluejays,Big East,cre
65,Dartmouth College,Dartmouth,Dartmouth,Big Green,Ivy League,dart
66,Davidson College,Davidson,Davidson,Wildcats,A-10,dav
67,University of Dayton,Dayton,Dayton,Flyers,A-10,dayton
68,University of Delaware,Delaware,Delaware,Fightin' Blue Hens,CAA,del
69,Delaware State University,Delaware State,DelawareSt,Hornets,MEAC,delst
70,University of Denver,Denver,Denver,Pioneers,The Summit,denver
71,DePaul University,DePaul,DePaul,Blue Demons,Big East,depaul
72,University of Detroit Mercy,Detroit,Detroit,Titans,Horizon League,det
73,Drake University,Drake,Drake,Bulldogs,Missouri Valley,drake
74,Drexel University,Drexel,Drexel,Dragons,CAA,drexel
75,Duke University,Duke,Duke,Blue Devils,ACC,duke
76,Duquesne University,Duquesne,Duquesne,Dukes,A-10,duq
77,East Carolina University,ECU,EastCarolina,Pirates,The American,ecu
78,East Tennessee State University,ETSU,EasternTennSt,Buccaneers,Southern,easttn
79,Eastern Illinois University,Eastern Illinois,EasternIllinois,Panthers,Ohio Valley,eastil
80,Eastern Kentucky University,Eastern Kentucky,EasternKentucky,Colonels,Ohio Valley,eastky
81,Eastern Michigan University,Eastern Michigan,EasternMichigan,Eagles,MAC,eastmi
82,Eastern Washington University,Eastern Washington,EasternWash,Eagles,Big Sky,eastwa
83,Elon University,Elon,Elon,Phoenix,CAA,elon
84,University of Evansville,Evansville,Evansville,Purple Aces,Missouri Valley,evan
85,Fairfield University,Fairfield,Fairfield,Stags,MAAC,fair
86,Fairleigh Dickinson University,Fairleigh Dickinson,FairDickinson,Knights,Northeast,fdu
87,University of Florida,Florida,Florida,Gators,SEC,fla
88,Florida Agricultural and Mechanical University,Florida A & M,FloridaAM,Rattlers,MEAC,flaa&m
89,Florida Atlantic University,Florida Atlantic,FloridaAtlantic,Owls,Conference USA,flaatl
